,Age,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,Work_accident,YearsInCurrentRole,YearsWithCurrManager,average_montly_hours,last_evaluation,number_project,satisfaction_level_Combined,YearsAtCompanyCombied,attrition_combined,salary_combined,BusinessTravel_numerical,Gender_numerical,EducationField_numerical,MaritalStatus_numerical,OverTime_numerical,JobRole_numerical,department_combined,promotion_5_year_combined,MonthtlyRateNormalized
64,36.0,8.0,3.0,3.0,3.0,1.0,13.0,3.0,2.0,3.0,17.0,2.0,3.0,0.0,14.0,8.0,200.0,0.72,4.0,3.0,17.0,0,2,1.0,0.0,4.0,2.0,0.0,4.0,2,0,1.0
65,55.0,8.0,4.0,3.0,4.0,2.0,14.0,3.0,3.0,3.0,21.0,2.0,3.0,0.0,0.0,2.0,200.0,0.72,4.0,3.0,5.0,0,2,1.0,0.0,2.0,2.0,1.0,5.0,2,1,3.0
66,36.0,11.0,2.0,2.0,2.0,1.0,13.0,3.0,3.0,0.0,6.0,3.0,3.0,0.0,5.0,3.0,200.0,0.72,4.0,2.0,6.0,0,2,2.0,1.0,0.0,0.0,0.0,3.0,2,1,4.0
67,45.0,7.0,2.0,3.0,3.0,2.0,17.0,3.0,3.0,1.0,25.0,2.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,1.0,1.0,0,2,1.0,1.0,0.0,2.0,0.0,1.0,2,1,3.0
68,35.0,1.0,2.0,3.0,1.0,4.0,13.0,3.0,4.0,1.0,5.0,2.0,2.0,0.0,2.0,2.0,200.0,0.72,4.0,1.0,3.0,0,0,2.0,1.0,2.0,1.0,0.0,1.0,2,1,0.0
69,36.0,9.0,4.0,2.0,1.0,0.0,17.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,200.0,0.72,4.0,3.0,1.0,1,1,1.0,1.0,2.0,1.0,1.0,1.0,2,1,3.0
70,59.0,1.0,1.0,2.0,2.0,7.0,11.0,3.0,4.0,0.0,20.0,2.0,2.0,0.0,3.0,3.0,200.0,0.72,4.0,3.0,4.0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,1,1,4.0
71,29.0,2.0,3.0,3.0,1.0,0.0,23.0,4.0,4.0,1.0,6.0,3.0,3.0,0.0,4.0,4.0,200.0,0.72,4.0,2.0,5.0,0,1,1.0,1.0,0.0,1.0,0.0,1.0,2,1,0.0
72,31.0,1.0,3.0,3.0,1.0,1.0,17.0,3.0,2.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,200.0,0.72,4.0,2.0,1.0,0,0,1.0,1.0,2.0,0.0,0.0,1.0,2,1,3.0
73,32.0,1.0,2.0,3.0,2.0,1.0,17.0,3.0,2.0,2.0,10.0,3.0,3.0,0.0,4.0,9.0,200.0,0.72,4.0,2.0,10.0,0,2,1.0,1.0,0.0,1.0,0.0,1.0,2,1,1.0
74,36.0,6.0,2.0,4.0,1.0,3.0,12.0,3.0,2.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,4.0,1.0,0,1,1.0,0.0,0.0,1.0,0.0,2.0,2,1,3.0
75,31.0,8.0,3.0,3.0,2.0,1.0,23.0,4.0,4.0,0.0,11.0,2.0,3.0,0.0,7.0,8.0,200.0,0.72,4.0,4.0,11.0,0,1,1.0,0.0,0.0,0.0,0.0,3.0,2,1,3.0
76,35.0,1.0,3.0,2.0,2.0,0.0,14.0,3.0,2.0,0.0,16.0,2.0,3.0,0.0,13.0,8.0,200.0,0.72,4.0,1.0,15.0,0,1,1.0,1.0,3.0,0.0,0.0,0.0,1,1,4.0
77,45.0,6.0,4.0,3.0,3.0,4.0,14.0,3.0,2.0,0.0,17.0,3.0,4.0,0.0,0.0,0.0,200.0,0.72,4.0,1.0,0.0,0,2,1.0,1.0,1.0,1.0,1.0,7.0,2,1,2.0
78,37.0,7.0,1.0,3.0,3.0,4.0,13.0,3.0,1.0,0.0,16.0,3.0,4.0,0.0,2.0,2.0,200.0,0.72,4.0,3.0,5.0,0,2,1.0,1.0,2.0,0.0,0.0,7.0,2,1,4.0
79,46.0,5.0,2.0,3.0,2.0,8.0,22.0,4.0,4.0,1.0,16.0,2.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,2.0,4.0,0,1,1.0,1.0,2.0,2.0,1.0,8.0,3,1,1.0
80,30.0,1.0,4.0,2.0,2.0,1.0,12.0,3.0,3.0,2.0,10.0,1.0,2.0,0.0,8.0,0.0,200.0,0.72,4.0,4.0,10.0,0,2,1.0,1.0,0.0,1.0,1.0,2.0,2,1,2.0
81,35.0,1.0,2.0,2.0,1.0,1.0,18.0,3.0,1.0,0.0,6.0,3.0,3.0,0.0,4.0,4.0,200.0,0.72,4.0,3.0,6.0,0,1,1.0,1.0,2.0,0.0,0.0,1.0,2,1,4.0
82,55.0,1.0,1.0,3.0,3.0,3.0,14.0,3.0,4.0,1.0,24.0,4.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,4.0,1.0,0,2,1.0,1.0,0.0,1.0,0.0,0.0,1,1,3.0
83,38.0,6.0,2.0,1.0,2.0,7.0,12.0,3.0,4.0,3.0,17.0,3.0,3.0,0.0,11.0,9.0,200.0,0.72,4.0,4.0,13.0,0,2,0.0,0.0,2.0,2.0,1.0,1.0,2,1,2.0
84,34.0,1.0,1.0,3.0,2.0,1.0,15.0,3.0,3.0,0.0,5.0,2.0,3.0,0.0,2.0,3.0,200.0,0.72,4.0,2.0,5.0,0,1,1.0,1.0,2.0,1.0,0.0,3.0,2,1,3.0
85,56.0,7.0,4.0,1.0,3.0,4.0,11.0,3.0,1.0,0.0,37.0,3.0,2.0,0.0,4.0,2.0,200.0,0.72,4.0,4.0,6.0,0,2,1.0,1.0,0.0,0.0,0.0,3.0,2,1,3.0
86,23.0,2.0,3.0,3.0,1.0,3.0,13.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,1.0,0.0,0,0,1.0,1.0,4.0,2.0,0.0,6.0,1,1,1.0
87,51.0,9.0,4.0,3.0,1.0,3.0,23.0,4.0,2.0,2.0,10.0,4.0,3.0,0.0,2.0,3.0,200.0,0.72,4.0,4.0,4.0,0,0,1.0,1.0,0.0,1.0,0.0,2.0,2,1,3.0
88,30.0,2.0,3.0,2.0,2.0,1.0,19.0,3.0,1.0,3.0,11.0,3.0,3.0,0.0,10.0,8.0,200.0,0.72,4.0,4.0,11.0,0,1,1.0,1.0,0.0,1.0,0.0,4.0,2,0,2.0
89,46.0,9.0,3.0,2.0,3.0,1.0,16.0,3.0,4.0,0.0,9.0,3.0,3.0,0.0,8.0,7.0,200.0,0.72,4.0,4.0,9.0,1,2,1.0,1.0,2.0,0.0,0.0,0.0,1,1,2.0
90,40.0,1.0,3.0,2.0,4.0,1.0,22.0,4.0,4.0,1.0,22.0,3.0,2.0,0.0,3.0,11.0,200.0,0.72,4.0,2.0,22.0,0,2,2.0,1.0,0.0,1.0,0.0,4.0,2,0,2.0
91,51.0,21.0,3.0,3.0,2.0,0.0,22.0,4.0,4.0,0.0,11.0,2.0,1.0,0.0,7.0,0.0,200.0,0.72,4.0,4.0,10.0,0,2,1.0,1.0,3.0,0.0,1.0,0.0,1,1,1.0
92,30.0,4.0,3.0,2.0,2.0,1.0,12.0,3.0,2.0,3.0,11.0,4.0,2.0,0.0,8.0,7.0,200.0,0.72,4.0,2.0,11.0,0,2,1.0,0.0,2.0,2.0,1.0,0.0,1,1,3.0
93,46.0,1.0,3.0,2.0,3.0,2.0,13.0,3.0,3.0,1.0,21.0,5.0,2.0,0.0,9.0,5.0,200.0,0.72,4.0,1.0,10.0,0,2,2.0,1.0,2.0,1.0,1.0,4.0,2,0,0.0
94,32.0,6.0,2.0,3.0,2.0,1.0,16.0,3.0,1.0,0.0,12.0,0.0,3.0,0.0,8.0,7.0,200.0,0.72,4.0,3.0,11.0,0,1,1.0,1.0,2.0,0.0,0.0,0.0,1,1,4.0
95,54.0,2.0,1.0,3.0,3.0,9.0,12.0,3.0,1.0,1.0,16.0,5.0,1.0,0.0,3.0,3.0,200.0,0.72,4.0,3.0,4.0,0,2,1.0,0.0,4.0,1.0,0.0,7.0,2,1,4.0
96,24.0,3.0,1.0,3.0,2.0,0.0,21.0,4.0,1.0,1.0,4.0,2.0,2.0,0.0,2.0,2.0,200.0,0.72,4.0,3.0,3.0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,1,1,3.0
97,28.0,4.0,2.0,3.0,2.0,1.0,15.0,3.0,2.0,0.0,5.0,3.0,4.0,0.0,4.0,4.0,200.0,0.72,4.0,3.0,5.0,0,1,0.0,1.0,2.0,1.0,0.0,0.0,1,1,1.0
98,58.0,10.0,4.0,3.0,4.0,0.0,13.0,3.0,3.0,0.0,38.0,1.0,2.0,0.0,10.0,8.0,200.0,0.72,4.0,3.0,37.0,0,2,1.0,1.0,2.0,0.0,0.0,0.0,1,1,4.0
99,44.0,23.0,2.0,3.0,2.0,4.0,12.0,3.0,3.0,1.0,17.0,3.0,4.0,0.0,2.0,2.0,200.0,0.72,4.0,2.0,3.0,0,0,0.0,1.0,2.0,1.0,0.0,2.0,2,1,4.0
100,37.0,6.0,3.0,3.0,1.0,4.0,22.0,4.0,4.0,0.0,7.0,3.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,1.0,3.0,1,0,1.0,1.0,5.0,2.0,1.0,8.0,3,1,4.0
101,32.0,1.0,4.0,3.0,1.0,1.0,13.0,3.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,1.0,1.0,0,1,1.0,1.0,0.0,0.0,0.0,1.0,2,1,2.0
102,20.0,6.0,4.0,2.0,1.0,1.0,18.0,3.0,2.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,4.0,1.0,1,1,2.0,0.0,0.0,0.0,1.0,2.0,2,1,3.0
103,34.0,6.0,1.0,3.0,2.0,1.0,14.0,3.0,3.0,0.0,16.0,3.0,3.0,0.0,13.0,10.0,200.0,0.72,4.0,3.0,16.0,0,1,1.0,0.0,1.0,0.0,0.0,1.0,2,1,2.0
104,37.0,2.0,3.0,2.0,2.0,5.0,14.0,3.0,4.0,1.0,17.0,2.0,4.0,0.0,0.0,0.0,200.0,0.72,4.0,4.0,1.0,0,2,0.0,1.0,0.0,2.0,0.0,4.0,2,1,2.0
105,59.0,2.0,3.0,2.0,5.0,9.0,21.0,4.0,4.0,1.0,30.0,3.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,4.0,3.0,0,2,0.0,0.0,5.0,1.0,0.0,5.0,3,1,3.0
106,50.0,1.0,1.0,3.0,5.0,3.0,19.0,3.0,1.0,0.0,28.0,1.0,2.0,0.0,3.0,7.0,200.0,0.72,4.0,2.0,8.0,0,2,2.0,0.0,0.0,1.0,1.0,7.0,2,1,1.0
107,25.0,5.0,3.0,2.0,2.0,1.0,11.0,3.0,4.0,0.0,6.0,1.0,3.0,0.0,4.0,3.0,200.0,0.72,4.0,3.0,6.0,1,2,1.0,1.0,3.0,0.0,1.0,0.0,1,1,4.0
108,25.0,7.0,4.0,2.0,1.0,1.0,11.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,200.0,0.72,4.0,4.0,2.0,0,1,1.0,1.0,2.0,1.0,0.0,1.0,2,1,4.0
