,Age,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,Work_accident,YearsInCurrentRole,YearsWithCurrManager,average_montly_hours,last_evaluation,number_project,satisfaction_level_Combined,YearsAtCompanyCombied,salary_combined,BusinessTravel_numerical,Gender_numerical,EducationField_numerical,MaritalStatus_numerical,OverTime_numerical,JobRole_numerical,department_combined,promotion_5_year_combined,MonthtlyRateNormalized,actual,predicted
7702,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,160.0,0.55,2.0,2.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,0
10128,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,187.0,0.5,2.0,2.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
15499,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,135.0,0.57,3.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
10992,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,168.0,0.81,4.0,3.0,2.0,2,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
6649,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,136.0,0.52,2.0,2.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,0
11228,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,220.0,0.74,3.0,2.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
16857,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,165.0,0.69,4.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
4847,29.0,10.0,3.0,3.0,2.0,3.0,12.0,3.0,1.0,0.0,10.0,1.0,3.0,0.0,3.0,2.0,200.0,0.72,4.0,3.0,6.0,2,2.0,0.0,4.0,1.0,1.0,0.0,2,1,4.0,1,1
2202,29.0,13.0,2.0,2.0,1.0,1.0,13.0,3.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,200.0,0.72,4.0,3.0,3.0,0,1.0,1.0,2.0,0.0,1.0,2.0,2,1,2.0,1,1
2608,21.0,10.0,2.0,3.0,1.0,0.0,16.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,200.0,0.72,4.0,2.0,2.0,1,2.0,0.0,0.0,0.0,0.0,2.0,1,1,4.0,1,1
12858,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,249.0,0.86,4.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
2878,27.0,6.0,2.0,2.0,1.0,1.0,11.0,3.0,2.0,0.0,6.0,2.0,1.0,0.0,6.0,0.0,200.0,0.72,4.0,3.0,6.0,1,2.0,0.0,0.0,2.0,1.0,6.0,3,1,4.0,1,1
1827,25.0,10.0,2.0,2.0,1.0,7.0,12.0,3.0,3.0,0.0,6.0,1.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,2.0,4.0,2,1.0,1.0,3.0,0.0,1.0,1.0,1,1,4.0,1,1
3437,26.0,6.0,2.0,1.0,1.0,2.0,18.0,3.0,2.0,2.0,6.0,3.0,2.0,0.0,1.0,1.0,200.0,0.72,4.0,3.0,6.0,1,1.0,0.0,4.0,0.0,1.0,6.0,1,1,4.0,1,1
17174,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,176.0,0.43,3.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
19615,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,242.0,0.89,3.0,3.0,10.0,2,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
10925,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,160.0,0.57,5.0,3.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
10036,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,181.0,0.65,3.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
1510,51.0,16.0,3.0,1.0,1.0,8.0,14.0,3.0,2.0,0.0,5.0,3.0,2.0,0.0,0.0,1.0,200.0,0.72,4.0,3.0,2.0,0,1.0,1.0,0.0,2.0,1.0,2.0,1,1,2.0,1,1
20024,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,195.0,0.86,5.0,3.0,6.0,2,1.0,1.0,2.0,1.0,0.0,2.0,7,0,2.0,0,0
5905,24.0,8.0,2.0,2.0,1.0,1.0,13.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,200.0,0.72,4.0,3.0,1.0,0,1.0,1.0,2.0,0.0,1.0,6.0,1,1,2.0,1,1
4941,34.0,4.0,1.0,2.0,1.0,2.0,18.0,3.0,2.0,0.0,10.0,2.0,2.0,0.0,2.0,0.0,200.0,0.72,4.0,1.0,4.0,1,1.0,0.0,4.0,0.0,1.0,2.0,2,1,3.0,1,1
17093,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,198.0,0.86,5.0,2.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
15005,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,224.0,0.89,3.0,2.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,1
3248,31.0,18.0,3.0,2.0,2.0,2.0,20.0,3.0,2.0,0.0,9.0,2.0,2.0,0.0,6.0,3.0,200.0,0.72,4.0,1.0,10.0,2,0.0,1.0,3.0,0.0,0.0,1.0,1,1,0.0,1,1
16493,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,257.0,0.98,3.0,2.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
12010,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,177.0,0.9,4.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,2,0,2.0,0,0
6595,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,256.0,0.9,5.0,3.0,5.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,1,0
44,30.0,1.0,3.0,3.0,2.0,1.0,23.0,4.0,4.0,0.0,12.0,2.0,3.0,0.0,8.0,7.0,200.0,0.72,4.0,4.0,12.0,1,2.0,0.0,2.0,0.0,0.0,2.0,2,1,1.0,0,0
2315,28.0,5.0,1.0,2.0,1.0,1.0,13.0,3.0,3.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,200.0,0.72,4.0,3.0,4.0,1,2.0,1.0,0.0,0.0,1.0,2.0,2,1,2.0,1,1
19490,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,259.0,0.56,5.0,1.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,8,0,2.0,0,0
4630,38.0,8.0,2.0,3.0,3.0,9.0,17.0,3.0,3.0,0.0,9.0,1.0,2.0,0.0,10.0,4.0,200.0,0.72,4.0,1.0,8.0,2,1.0,1.0,0.0,1.0,0.0,0.0,2,0,4.0,1,0
11942,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,173.0,0.89,2.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,10,0,2.0,0,0
12072,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,125.0,0.69,3.0,2.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,7,0,2.0,0,0
20911,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,281.0,0.56,4.0,3.0,6.0,1,1.0,1.0,2.0,1.0,0.0,2.0,3,0,2.0,1,0
6267,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,309.0,0.81,6.0,1.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,1
7882,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,239.0,0.83,4.0,4.0,5.0,0,1.0,1.0,2.0,1.0,0.0,2.0,9,0,2.0,1,0
11444,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,173.0,0.51,4.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
1962,38.0,5.0,3.0,1.0,3.0,3.0,13.0,3.0,3.0,0.0,15.0,2.0,2.0,0.0,2.0,3.0,200.0,0.72,4.0,3.0,3.0,2,2.0,1.0,0.0,0.0,1.0,0.0,2,1,4.0,1,1
6628,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,199.0,0.53,3.0,2.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,0
10979,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,149.0,0.95,5.0,1.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,1
14539,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,259.0,0.58,4.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,10,0,2.0,0,0
2559,35.0,4.0,2.0,3.0,2.0,0.0,19.0,3.0,3.0,0.0,8.0,2.0,3.0,0.0,7.0,7.0,200.0,0.72,4.0,1.0,0.0,2,1.0,0.0,3.0,0.0,1.0,0.0,1,1,1.0,1,1
19154,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,224.0,0.9,3.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
8211,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,202.0,0.67,2.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
9812,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,190.0,0.91,5.0,4.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
13630,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,204.0,0.56,2.0,4.0,3.0,2,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
19430,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,217.0,0.55,4.0,4.0,8.0,1,1.0,1.0,2.0,1.0,0.0,2.0,4,0,2.0,0,0
5460,29.0,22.0,2.0,2.0,1.0,2.0,11.0,3.0,3.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,200.0,0.72,4.0,2.0,4.0,0,1.0,1.0,0.0,2.0,0.0,8.0,3,1,1.0,1,1
8332,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,237.0,0.51,4.0,4.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,8,0,2.0,0,0
15815,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,241.0,0.87,3.0,3.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,8,0,2.0,0,0
13268,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,107.0,0.41,5.0,3.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
15556,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,235.0,0.66,3.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
5743,34.0,9.0,4.0,3.0,1.0,1.0,13.0,3.0,1.0,0.0,8.0,3.0,3.0,0.0,2.0,7.0,200.0,0.72,4.0,1.0,8.0,1,1.0,0.0,2.0,1.0,0.0,2.0,2,1,0.0,1,1
4496,43.0,5.0,2.0,2.0,4.0,1.0,14.0,3.0,1.0,0.0,25.0,1.0,3.0,0.0,6.0,8.0,200.0,0.72,4.0,1.0,23.0,2,1.0,0.0,0.0,0.0,1.0,8.0,3,0,0.0,1,1
7528,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,267.0,0.96,6.0,1.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,1,1
11078,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,269.0,0.55,3.0,4.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,7,0,2.0,0,0
9352,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,229.0,0.8,4.0,4.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
3115,45.0,7.0,1.0,2.0,2.0,3.0,19.0,3.0,2.0,0.0,14.0,4.0,2.0,0.0,3.0,2.0,200.0,0.72,4.0,3.0,7.0,2,2.0,1.0,4.0,1.0,0.0,0.0,1,1,4.0,1,1
735,48.0,6.0,1.0,2.0,2.0,2.0,13.0,3.0,4.0,0.0,19.0,0.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,3.0,2.0,1,1.0,1.0,0.0,0.0,0.0,4.0,2,1,2.0,0,1
21087,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,242.0,1.0,5.0,4.0,5.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,1,0
5970,40.0,23.0,3.0,2.0,1.0,1.0,12.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,200.0,0.72,4.0,1.0,1.0,0,2.0,1.0,4.0,2.0,1.0,1.0,3,1,1.0,1,1
16164,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,164.0,0.78,5.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,4,0,2.0,0,0
2498,28.0,3.0,2.0,1.0,1.0,2.0,11.0,3.0,3.0,0.0,8.0,2.0,2.0,0.0,7.0,7.0,200.0,0.72,4.0,1.0,7.0,0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,0.0,1,1
19270,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,156.0,0.73,5.0,3.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
4128,29.0,3.0,4.0,2.0,1.0,0.0,11.0,3.0,2.0,0.0,4.0,3.0,2.0,0.0,0.0,4.0,200.0,0.72,4.0,4.0,2.0,1,2.0,0.0,0.0,0.0,1.0,1.0,2,0,0.0,1,0
8410,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,272.0,0.53,5.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,8,0,2.0,0,0
12701,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,204.0,0.77,3.0,4.0,3.0,2,1.0,1.0,2.0,1.0,0.0,2.0,7,0,2.0,0,0
9653,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,134.0,0.73,5.0,3.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
12377,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,260.0,0.59,3.0,2.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,8,0,2.0,0,0
19095,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,221.0,0.79,3.0,3.0,3.0,2,1.0,1.0,2.0,1.0,0.0,2.0,9,0,2.0,0,0
11672,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,256.0,0.91,3.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
10684,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,260.0,0.54,5.0,4.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
7831,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,241.0,0.95,5.0,4.0,5.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,1,0
11585,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,186.0,0.97,4.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,3,0,2.0,0,0
20507,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,232.0,0.84,5.0,1.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,1,1
10269,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,141.0,0.51,3.0,3.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
2812,33.0,10.0,2.0,3.0,2.0,3.0,11.0,3.0,1.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,3.0,1.0,2,2.0,1.0,0.0,2.0,1.0,4.0,2,1,4.0,1,1
4771,50.0,25.0,2.0,3.0,2.0,1.0,15.0,3.0,3.0,1.0,10.0,3.0,2.0,0.0,4.0,7.0,200.0,0.72,4.0,3.0,9.0,2,1.0,1.0,2.0,1.0,0.0,0.0,1,1,3.0,1,0
5207,34.0,4.0,2.0,3.0,1.0,1.0,15.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,1.0,1.0,0,1.0,1.0,0.0,0.0,1.0,6.0,2,1,4.0,1,1
20771,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,304.0,0.8,6.0,1.0,5.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,1
13824,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,258.0,0.75,3.0,4.0,3.0,1,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
13332,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,168.0,0.68,5.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
10242,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,217.0,0.76,4.0,3.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,8,0,2.0,0,0
2325,25.0,6.0,1.0,2.0,1.0,1.0,11.0,3.0,3.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,200.0,0.72,4.0,3.0,3.0,1,1.0,1.0,0.0,0.0,1.0,2.0,2,1,2.0,1,1
6760,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,298.0,0.96,6.0,1.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,1,1
12086,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,181.0,0.9,3.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,2,0,2.0,0,0
8086,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,304.0,0.8,6.0,1.0,4.0,0,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,1,1
4417,30.0,9.0,2.0,2.0,1.0,6.0,15.0,3.0,1.0,0.0,6.0,2.0,2.0,0.0,1.0,1.0,200.0,0.72,4.0,1.0,1.0,1,0.0,1.0,2.0,1.0,0.0,1.0,2,1,3.0,1,1
2290,33.0,19.0,3.0,2.0,1.0,0.0,15.0,3.0,2.0,0.0,5.0,2.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,2.0,3.0,1,2.0,1.0,2.0,2.0,0.0,6.0,2,1,1.0,1,1
4580,34.0,16.0,4.0,2.0,2.0,0.0,18.0,3.0,1.0,1.0,6.0,1.0,3.0,0.0,3.0,1.0,200.0,0.72,4.0,1.0,4.0,1,2.0,1.0,3.0,0.0,0.0,2.0,2,1,4.0,1,1
16758,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,142.0,0.85,5.0,2.0,6.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
5211,47.0,1.0,2.0,2.0,3.0,1.0,12.0,3.0,1.0,1.0,17.0,3.0,2.0,0.0,7.0,7.0,200.0,0.72,4.0,3.0,32.0,2,1.0,0.0,4.0,1.0,0.0,0.0,1,1,2.0,1,1
16975,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,137.0,0.59,4.0,2.0,4.0,2,1.0,1.0,2.0,1.0,0.0,2.0,5,0,2.0,0,0
10784,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,194.0,0.98,4.0,3.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,8,0,2.0,0,0
4489,28.0,10.0,2.0,1.0,1.0,1.0,14.0,3.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,2.0,0.0,0,2.0,1.0,0.0,0.0,1.0,6.0,1,1,1.0,1,1
4193,50.0,1.0,3.0,3.0,2.0,4.0,14.0,3.0,3.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,200.0,0.72,4.0,2.0,1.0,1,1.0,1.0,2.0,1.0,1.0,0.0,2,1,3.0,1,1
